label (S),n (N),content (M),number (N)
i,1,"{    ""data"" : { ""M"" : {        ""x"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""-3"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        },        ""y"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""4"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-4"" },            { ""N"" : ""-4"" },            { ""N"" : ""-4"" },            { ""N"" : ""-4"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""4"" },            { ""N"" : ""3"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""-4"" },            { ""N"" : ""-4"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""3"" },            { ""N"" : ""4"" },            { ""N"" : ""4"" },            { ""N"" : ""0"" },            { ""N"" : ""5"" },            { ""N"" : ""6"" },            { ""N"" : ""3"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""-4"" },            { ""N"" : ""-3"" },            { ""N"" : ""-5"" },            { ""N"" : ""-4"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        }      }    }  }",85
b,1,"{    ""data"" : { ""M"" : {        ""x"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""4"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-4"" },            { ""N"" : ""-4"" },            { ""N"" : ""-4"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        },        ""y"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""-3"" },            { ""N"" : ""-4"" },            { ""N"" : ""-5"" },            { ""N"" : ""-3"" },            { ""N"" : ""-4"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        }      }    }  }",74
c,2,"{    ""data"" : { ""M"" : {        ""x"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""-3"" },            { ""N"" : ""-3"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        },        ""y"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""-4"" },            { ""N"" : ""-5"" },            { ""N"" : ""-3"" },            { ""N"" : ""-4"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""0"" },            { ""N"" : ""2"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-3"" },            { ""N"" : ""-1"" },            { ""N"" : ""-4"" },            { ""N"" : ""-5"" },            { ""N"" : ""-4"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        }      }    }  }",75
l,1,"{    ""data"" : { ""M"" : {        ""x"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-3"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        },        ""y"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""2"" },            { ""N"" : ""5"" },            { ""N"" : ""5"" },            { ""N"" : ""4"" },            { ""N"" : ""2"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""-4"" },            { ""N"" : ""-5"" },            { ""N"" : ""-4"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        }      }    }  }",52
m,2,"{    ""data"" : { ""M"" : {        ""x"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-3"" },            { ""N"" : ""-4"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""4"" },            { ""N"" : ""3"" },            { ""N"" : ""4"" },            { ""N"" : ""3"" },            { ""N"" : ""0"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""4"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-3"" },            { ""N"" : ""-4"" },            { ""N"" : ""-4"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-4"" },            { ""N"" : ""-3"" },            { ""N"" : ""-3"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""3"" },            { ""N"" : ""5"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        },        ""y"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""3"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-3"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""4"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-3"" },            { ""N"" : ""-1"" },            { ""N"" : ""1"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        }      }    }  }",76
m,1,"{    ""data"" : { ""M"" : {        ""x"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-3"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""3"" },            { ""N"" : ""4"" },            { ""N"" : ""4"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-3"" },            { ""N"" : ""-5"" },            { ""N"" : ""-4"" },            { ""N"" : ""-2"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-3"" },            { ""N"" : ""-5"" },            { ""N"" : ""-3"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""4"" },            { ""N"" : ""4"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""2"" },            { ""N"" : ""3"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        },        ""y"" : { ""L"" : [            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""3"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-3"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-5"" },            { ""N"" : ""-3"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""2"" },            { ""N"" : ""0"" },            { ""N"" : ""3"" },            { ""N"" : ""2"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""-1"" },            { ""N"" : ""-2"" },            { ""N"" : ""-2"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""-1"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" },            { ""N"" : ""0"" }          ]        }      }    }  }",88
